taker_address,n_copy_trades,n_wins,hit_rate,pnl_total,pnl_mean
0x21c142b69c0faa61238d630bac6a067eb5e8692c,161,97,0.6024844720496895,1924.0721536310518,11.950758718205291
0x7b1036b62136cad4ac4b86668c3dcb9e84e2acab,171,100,0.5847953216374269,1889.3695223662282,11.048944575241102
0x4c9dfeb4e0951e613552f220dd460a706e39d327,1387,718,0.517664023071377,1848.8098997895233,1.332955947937652
0x487b42dfbe65d6c1250eed057580ab6761e2eccb,56,44,0.7857142857142857,1829.4150223974434,32.66812539995435
0x84f7860753f0fb62e7e786523690661c4255ade1,21052,10317,0.490072202166065,1791.4081115801418,0.08509443813320074
0x7b9de2c3311ad85bb116697634009caa6ca579ea,53,37,0.6981132075471698,1752.314958350134,33.06254638396479
0xae825b67fac24b92f328f25b5d2530567605faf0,68,43,0.6323529411764706,1590.155426128013,23.384638619529603
0x8ed4a50cc733293df432318551c57179d086366a,31,25,0.8064516129032258,1569.9254229963624,50.64275558052782
0x28b1c8c2a5cd5d02108ae82290e6d9230ffe5a3f,557,323,0.5798922800718133,1564.7648309646147,2.80927258701008
0xb7bf8bb676648de08602704db870b5bb8808b02d,298,235,0.7885906040268457,1466.7246307541689,4.921894734074392
0x5b06a846ffad0967cd4343971fd26e2ceec8fbf1,45,24,0.5333333333333333,1421.9452769801176,31.5987839328915
0xb58085c02bf7ecd1c26bddce36fdd177f2e09b95,211,103,0.4881516587677725,1401.9497559780493,6.644311639706395
0x5b5fe880a8c4dfb6e4dc651d05ae8aebfe073397,58,32,0.5517241379310345,1398.3529696362502,24.109533959245695
0xa3b880f26bd49eca0577e649fa5c73ab1d66cf0a,25,18,0.72,1396.725422561305,55.8690169024522
0x5d47b49c4edb1ad4ec3343ad6557c6c0cff5d0a2,103,62,0.6019417475728155,1366.8407034800778,13.27029809203959
0x6a7d898b1be25e6799bc802fc539ccf1c0b81f87,22,22,1.0,1305.7142650534702,59.35064841152137
0xd56837a9f2ed30eefe0a588dd1467e7f51e3a35a,174,101,0.5804597701149425,1191.985402946236,6.850490821530093
0x1ea2bdd2aff5344a19a501f0fce2f097f21f9ad4,13,13,1.0,1182.8379989650573,90.98753838192748
0xad718fa375c8ddb68624750a2f8271ac18c44c93,43,26,0.6046511627906976,1155.7182357950314,26.877168274303056
0x83d8b8ef8b6ecdc4fa1dfd02ca8f5b918eb32478,45,42,0.9333333333333333,1036.7419322624871,23.03870960583305
0x3d7d848464a32be710c4ff3c5b2675c5f246ec26,510,283,0.5549019607843138,895.0433365561594,1.754986934423842
