taker_address,n,wins,pnl_total,pnl_mean,pnl_std,hit_rate,sharpe_analog
0x32ed517a571c01b6e9adecf61ba81ca48ff2f960,1414,961,11779.649885211838,8.33072834880611,99.01466972609592,0.6796322489391796,0.08413630396234606
0xeb1e1dd76fdeda6dfcb07d8604a5b5f39e0888d5,881,548,11535.583533924562,13.093738404000637,93.12292386564206,0.6220204313280363,0.1406070370265898
0x0269f59bf7fb02d4c4ce66e9dc9487958aec128e,574,405,9927.086617108556,17.294575987994,128.9816943664453,0.705574912891986,0.13408550781523304
0xb55216ed55337cf9443139e4e5cace56426694a8,736,476,9751.124309295941,13.248810202847746,85.86638386546375,0.6467391304347826,0.15429565804944234
0xbff195d5895037589c81421751ba1874c3f7d32b,253,217,9514.2146733895,37.6055915944249,83.14069641271067,0.857707509881423,0.4523126846057511
0xe505530c4c854e75db39e84b96507ea6d88bd18b,866,474,9370.211856488688,10.82010606984837,107.31096917855818,0.5473441108545035,0.10082945063933256
0x8cbb318b8863898f0907dee7113453eb75faacb2,1562,808,9143.44697321039,5.853679240211517,108.5151400199397,0.5172855313700384,0.05394343350739723
0x3ac019ceec2ac9d4104095a318b8895256f41a25,122,121,8699.476483787495,71.30718429334013,20.545042253957536,0.9918032786885246,3.470773309293361
0xcc936bcc4687340e37447865754c841e82008afb,143,96,8355.641776884022,58.43106137681134,126.39590010459567,0.6713286713286714,0.4622860498517612
0xbf2c878cd5d6043697b32067be141647deeb097c,211,182,8304.924895919923,39.35983362995224,74.67885439109483,0.8625592417061612,0.5270545986662291
0x68704036bc2c1406fdec781b29127d139e4f5826,700,400,7922.9101461353275,11.31844306590761,108.40774332207725,0.5714285714285714,0.10440622338462245
0xdef926a087f91086267153f75d82809fa7462d16,118,110,7847.388458646232,66.5032920224257,47.61230534115558,0.9322033898305084,1.3967668976730043
0x20a874c49f45b656710f4cd0080b04b73b6af004,446,271,7688.08332839131,17.23785499639307,121.92748557607823,0.6076233183856502,0.14137792569860952
0x5724c68487afbb5a9d76dfec1da2a9d3e0d373e5,175,172,7381.051382169501,42.177436469540005,36.261005330976644,0.9828571428571429,1.163162358146456
0x8b8c28523421d03abd9a8c41513c4fbbaa8c9390,330,211,6806.158767412694,20.624723537614223,114.52511937841813,0.6393939393939394,0.18008908132603862
0x9519a4be477791592a6890a1d0aa81614b823b2e,543,329,6508.935906539757,11.986990619778558,91.35288554452269,0.6058931860036832,0.13121633266785485
0x4762c329459b5bbf87e9fc9f65749efc7086ba70,758,426,6502.696076460777,8.578754718285985,107.2431442171116,0.5620052770448549,0.07999350243702728
0xe84c5c5d17c56d907b5dd68d78cf9ae85e0bd40c,248,171,6236.349905366767,25.146572199059545,112.5751547659621,0.6895161290322581,0.2233758616751446
0x76aab848fcfe499d37aae3dd6817ef206d62ba27,100,66,6010.010686059385,60.100106860593854,158.59817033598247,0.66,0.37894577682248615
0xcfdac27a4deacf1cdd26bd425dc68874ce97bede,551,330,5736.958850528989,10.411903539980017,146.3311046438791,0.5989110707803993,0.07115304408669028
0x46679fb51fbe6772b5c7d6c65983a55f1cb1cab0,445,244,5667.873263919125,12.736793851503652,122.8045248408401,0.5483146067415731,0.103715997989578
0x2849cded4b81e03b6d59611da2ba0f18996b3d49,332,170,5360.804491312136,16.14700147985583,166.03178386692048,0.5120481927710844,0.09725247241093395
0x125eff052d1a4cc9c539f564c92d20697ebf992c,370,312,5282.921393029136,14.278165927105773,59.96404676464864,0.8432432432432433,0.23811211379955363
0xfd3f3d9cdc7854b616b5a6b13d8468683a6644f1,327,202,5026.406779919468,15.371274556328649,100.52604177499785,0.617737003058104,0.1529083835881389
0x6daed63285060cd088a050162cb3df8350484688,351,207,4971.156327156533,14.1628385389075,122.78173756620964,0.5897435897435898,0.11534971584247403
0x889c5a2d5cdb73bb20c88c79b1931b93d7e1e375,1014,616,4822.320451443777,4.75574009018124,94.93825775823292,0.6074950690335306,0.05009297834695969
0xdc9186bce446e57076e2b4a3d0b683bb25440fdb,461,360,4190.804733279181,9.090682718609937,74.26235763870359,0.7809110629067245,0.1224130637332757
0xc4592f60ca12322212e59963d98a0fdee8317b3f,125,72,4079.0192630137362,32.63215410410989,122.9944666019778,0.576,0.2653140015616373
0x3b877e9c53be505c6994fb74742e790d45e56a47,121,79,3755.0535444113298,31.033500367035785,108.35958964555743,0.6528925619834711,0.28639366823504864
0x1ed0777ee7c241d4d56d616b69ec6f8271cc77f7,184,104,3341.173922848852,18.15855392852637,123.86054288299346,0.5652173913043478,0.14660483077068454
0xa800d978a3ee5795d6958b21c9a4feb1e629bd7a,170,98,3195.997509918885,18.79998535246403,107.74822363110431,0.5764705882352941,0.17448069878932954
0xee206fbbde03bdcd8fb790a27f6cbe0bf6905b37,558,289,2975.34085329675,5.332152066840054,125.08469865915374,0.517921146953405,0.04262833203419838
0xd1fa9cfedb5f93fff74e1ec9f3177a8d27ddae2e,100,88,2341.951049164744,23.41951049164744,51.15217203334562,0.88,0.457840000936431
0x4fcbc6dc8c744c87919acc5750d422f2340a0426,280,148,2306.91415869116,8.238979138182714,117.30028781817889,0.5285714285714286,0.07023835398386685
0x39c6d154b30d0d9bfa7622522e8041d806990ac1,258,132,2098.868937863816,8.135150921952775,115.0843930214658,0.5116279069767442,0.07068856782722387
0x511068d7dec9b0eba3fd32e25961de02e5392695,177,119,2029.2654520324616,11.46477656515515,82.44377668073712,0.672316384180791,0.13906175853093689
0x21c142b69c0faa61238d630bac6a067eb5e8692c,161,97,1924.0721536310518,11.950758718205291,106.66101247828624,0.6024844720496895,0.11204430222934735
0x7b1036b62136cad4ac4b86668c3dcb9e84e2acab,171,100,1889.3695223662282,11.048944575241102,105.1984152722771,0.5847953216374269,0.10502957241935588
0xb7bf8bb676648de08602704db870b5bb8808b02d,298,235,1466.7246307541689,4.921894734074392,58.701297706160595,0.7885906040268457,0.08384643826294573
0x5d47b49c4edb1ad4ec3343ad6557c6c0cff5d0a2,103,62,1366.8407034800778,13.27029809203959,93.68270790403957,0.6019417475728155,0.14165152127789188
0xd56837a9f2ed30eefe0a588dd1467e7f51e3a35a,174,101,1191.985402946236,6.850490821530093,95.50170744843567,0.5804597701149425,0.07173160569122689
