date,daily_pnl,cum_pnl
2025-04-17,-119.69889946231524,182534.398698379
2025-04-18,3574.6806102043433,186109.07930858334
2025-04-19,-1198.3846528895533,184910.69465569378
2025-04-20,-24.84458105316985,184885.85007464062
2025-04-21,220.34468266394228,185106.19475730456
2025-04-22,-269.4444444444444,184836.75031286012
2025-04-23,-879.5180722891566,183957.23224057097
2025-04-24,326.8894911215447,184284.12173169252
2025-04-25,-630.5084745762712,183653.61325711626
2025-04-26,3138.5414390333044,186792.15469614958
2025-04-27,-1024.2046971279635,185767.9499990216
2025-04-28,155.4135521028805,185923.3635511245
2025-04-29,-1016.5835112814871,184906.780039843
2025-04-30,2584.2968035624504,187491.07684340543
2025-05-01,8.641243637925172,187499.71808704335
2025-05-02,-5632.529096021356,181867.188991022
2025-05-03,2319.8481970781004,184187.0371881001
2025-05-04,-276.93166744596294,183910.10552065415
2025-05-05,1866.152446621991,185776.25796727615
2025-05-06,7575.060125030843,193351.318092307
2025-05-07,-3155.6464891796286,190195.67160312735
2025-05-08,55451.94551879832,245647.61712192566
2025-05-09,626.3536596911981,246273.97078161687
2025-05-10,5362.512721085432,251636.4835027023
2025-05-11,6541.479616020746,258177.96311872304
2025-05-12,-278.9375049034152,257899.02561381963
2025-05-13,-2789.862923289901,255109.16269052972
2025-05-14,-429.9391204111717,254679.22357011854
2025-05-15,-527.6163738579339,254151.60719626062
2025-05-16,1064.1625674467027,255215.76976370733
2025-05-17,80.96747799815842,255296.7372417055
2025-05-18,1539.5263892319147,256836.2636309374
2025-05-19,11037.93486329129,267874.1984942287
2025-05-20,-1570.060365102153,266304.1381291266
2025-05-21,650.0872024186635,266954.2253315452
2025-05-22,967.4167079499091,267921.6420394951
2025-05-23,-1741.0779924295339,266180.56404706556
2025-05-24,-1135.587201772634,265044.97684529296
2025-05-25,-889.0855901931141,264155.89125509985
2025-05-26,-800.0,263355.89125509985
2025-05-27,-4318.603712324301,259037.28754277554
2025-05-28,-102.95187308828453,258934.33566968725
2025-05-29,1399.137972651899,260333.47364233914
2025-05-30,2190.1988727631538,262523.6725151023
2025-05-31,323.64644921124153,262847.31896431354
2025-06-01,8.901515179200672,262856.22047949274
2025-06-02,13055.286396060472,275911.5068755532
2025-06-03,-13322.955429117961,262588.5514464353
2025-06-04,37313.442048421704,299901.993494857
2025-06-05,12029.742834977733,311931.73632983473
2025-06-06,-2540.0864198050645,309391.64991002966
2025-06-07,2454.120320082225,311845.7702301119
2025-06-08,-5123.379664582407,306722.39056552947
2025-06-09,23132.813613093105,329855.2041786226
2025-06-10,-11628.34657051031,318226.8576081123
2025-06-11,18340.52174008918,336567.37934820144
2025-06-12,-924.7562639045067,335642.62308429694
2025-06-13,5109.681003831827,340752.3040881288
2025-06-14,-2017.8746904532015,338734.4293976756
2025-06-15,-3371.3432119531517,335363.08618572244
2025-06-16,1214.6726123572994,336577.75879807974
2025-06-17,108.84110481291566,336686.59990289266
2025-06-18,-2281.0047467958093,334405.59515609685
2025-06-19,2235.50664823345,336641.1018043303
2025-06-20,5835.177544640453,342476.27934897074
2025-06-21,1921.672244444315,344397.95159341505
2025-06-22,1280.9517118424926,345678.90330525755
2025-06-23,1535.8957605265646,347214.79906578414
2025-06-24,-209.24722640350097,347005.55183938064
2025-06-25,7744.831072954592,354750.3829123352
2025-06-26,85.53885783046954,354835.9217701657
2025-06-27,-3107.576983420002,351728.34478674567
2025-06-28,-1830.4437760126357,349897.90101073304
2025-06-29,-1442.2598115656676,348455.64119916735
2025-06-30,530.9680346139392,348986.6092337813
2025-07-01,4494.3606896118545,353480.96992339316
2025-07-02,-5825.30979914418,347655.660124249
2025-07-03,17653.501457128707,365309.16158137773
2025-07-04,-5898.439931545278,359410.72164983244
2025-07-05,670.6046432991885,360081.3262931316
2025-07-06,-4784.827331690561,355296.49896144104
2025-07-07,-18098.045131227675,337198.45383021334
2025-07-08,7860.4346711351045,345058.88850134844
2025-07-09,9580.920179326342,354639.80868067476
2025-07-10,5807.3987961220355,360447.2074767968
2025-07-11,-911.1953022937548,359536.01217450306
2025-07-12,1693.689851188778,361229.70202569186
2025-07-13,1159.4609485362678,362389.16297422815
2025-07-15,-646.8621397213816,361742.30083450675
2025-07-16,-1812.6110564019732,359929.6897781048
2025-07-17,5373.886770597745,365303.5765487025
2025-07-18,-2002.3806790184012,363301.1958696841
2025-07-19,6435.503057032645,369736.69892671675
2025-07-20,1466.778498665768,371203.47742538253
2025-07-21,144.6630830341907,371348.14050841675
2025-07-22,-3024.682299781438,368323.45820863533
2025-07-23,2874.4843619671965,371197.9425706025
2025-07-24,3879.0373515150422,375076.97992211755
2025-07-25,2079.2709463566216,377156.2508684742
2025-07-26,-5194.390380835297,371961.8604876389
2025-07-27,-3222.791281590615,368739.0692060483
2025-07-28,-5673.863529850313,363065.205676198
2025-07-29,-1799.2750704728498,361265.93060572515
2025-07-30,495.1360660193208,361761.06667174445
2025-07-31,-353.4321945066546,361407.6344772378
2025-08-01,304.2813909069505,361711.9158681448
2025-08-02,2480.602444410529,364192.51831255533
2025-08-03,-2575.840710931242,361616.6776016241
2025-08-04,-2310.1439478825864,359306.5336537415
2025-08-05,-1066.366343588987,358240.16731015255
2025-08-06,-334.72141764793747,357905.4458925046
2025-08-07,-136.8574930847333,357768.58839941985
2025-08-08,-829.7833539086287,356938.8050455112
2025-08-09,1687.846367599682,358626.6514131109
2025-08-10,1256.7967274255664,359883.4481405365
2025-08-11,1999.3311129512,361882.7792534877
2025-08-12,135.02852939703408,362017.80778288475
2025-08-13,697.300466629976,362715.1082495147
2025-08-14,223.0099738601107,362938.1182233748
2025-08-15,-2641.4399688847147,360296.67825449014
2025-08-16,6899.2892330747645,367195.9674875649
2025-08-17,5054.392673427781,372250.36016099266
2025-08-19,2047.9825261349902,374298.34268712765
2025-08-20,1044.0074813936772,375342.35016852134
2025-08-21,-225.50739586826927,375116.8427726531
2025-08-22,1129.3181646393139,376246.1609372924
2025-08-23,16677.743280599574,392923.904217892
2025-08-24,-1027.277142543465,391896.6270753485
2025-08-25,3424.950061051221,395321.57713639975
2025-08-26,8060.696575632843,403382.2737120326
2025-08-27,3703.1428135740252,407085.4165256066
2025-08-28,5594.093225008563,412679.50975061517
2025-08-29,2494.8448496428837,415174.35460025806
2025-08-30,12583.52553273567,427757.88013299374
2025-08-31,21734.99413038099,449492.8742633747
2025-09-01,1243.1898050414286,450736.06406841613
2025-09-02,3307.4611875051555,454043.5252559213
2025-09-03,-223.07797241437163,453820.4472835069
2025-09-04,2194.8718957100887,456015.319179217
2025-09-05,-4114.911042430302,451900.40813678666
2025-09-06,-3541.2805701998423,448359.12756658683
2025-09-07,2393.361931575123,450752.48949816194
2025-09-08,504.77041001238,451257.25990817434
2025-09-09,11274.69592261816,462531.9558307925
2025-09-10,8587.454109701237,471119.4099404937
2025-09-11,-427.76399951069084,470691.645940983
2025-09-12,6920.435470665059,477612.0814116481
2025-09-13,7865.020590284555,485477.1020019326
2025-09-14,-4354.492077284395,481122.60992464825
2025-09-15,2430.8393556147585,483553.449280263
2025-09-16,-1255.7013490796446,482297.7479311833
2025-09-17,1392.0715362801884,483689.81946746353
2025-09-18,-1694.5650164747105,481995.25445098884
2025-09-19,-1263.9066791861135,480731.34777180274
2025-09-20,5473.496382205058,486204.8441540078
2025-09-21,5541.363644538359,491746.2077985461
2025-09-22,3632.8032346773807,495379.0110332235
2025-09-23,1581.8966131539146,496960.9076463774
2025-09-24,2324.4658735607263,499285.37351993815
2025-09-25,6769.845579183257,506055.2190991214
2025-09-26,3703.476842403292,509758.6959415247
2025-09-27,22001.471535442855,531760.1674769676
2025-09-28,2893.592393408807,534653.7598703763
2025-09-29,6140.057453539021,540793.8173239153
2025-09-30,-2749.0373256079365,538044.7799983073
2025-10-01,4738.3307507737045,542783.110749081
2025-10-02,-5450.653843773193,537332.4569053078
2025-10-03,23.241737442240463,537355.69864275
2025-10-04,670.6528562187626,538026.3514989688
2025-10-05,2841.9225496296217,540868.2740485984
2025-10-06,-2390.820303328718,538477.4537452697
2025-10-07,863.3572970676973,539340.8110423373
2025-10-08,2040.2885858378763,541381.0996281753
2025-10-09,8559.331255900726,549940.4308840759
2025-10-10,9848.891562889132,559789.322446965
2025-10-11,3927.046075600276,563716.3685225653
2025-10-12,-3656.4775417952496,560059.8909807701
2025-10-13,3785.323587736175,563845.2145685063
2025-10-14,7423.251793916637,571268.466362423
2025-10-15,2158.786309592265,573427.2526720153
2025-10-16,1905.7493427106178,575333.0020147259
2025-10-17,18560.300942246387,593893.3029569723
2025-10-18,7611.710558541989,601505.0135155142
2025-10-19,13253.475320020238,614758.4888355344
2025-10-20,9011.553159153986,623770.0419946885
2025-10-21,11855.338077595787,635625.3800722843
2025-10-22,4254.097637700941,639879.4777099852
2025-10-23,-4656.244848690767,635223.2328612944
